Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Amahra;South Gonder;Dera;ET030209;;18639; 400 ; 395 ;;;;;1;;1;;;5; 3,887 
Amahra;South Gonder;Fogera;ET030203;;1; 1,522 ;;;;;;1;;1;;;4; 381 
Amahra;South Gonder;Libo Kemkem;ET030202;;1;; 7,541 ;;;;;1;; 2,550 ;;;4; 2,523 
Amahra;South Gonder;Simada;ET030207;;;;;;;;;1; 1 ;1; 1 ;;4; 1 
Oromia;South West Shewa;Ilu;ET041305;;16680;;;;;;;1;;1; 1 ;;4; 4,171 
Oromia;South West Shewa;Becho;ET041309;;;;;;;;;1;;1;;;2; 1 
Amahra;South Gonder;Farta;ET030204;;1;;;;;;;;;;;;1; 1 
Amahra;South Gonder;Tach gayint;ET030206;;;;;;;;;;;; 1 ;;1; 1 
Amahra;South Wollo;kalu;ET030407;;8540; 4 ; 1 ;;;;;1;;1;;;5; 1,709 
Amahra;South Wollo;Thehulederie;ET030405;;60149; 1 ; 1 ;;;;;1;;1;;;5; 12,031 
Amahra;South Wollo;Ambasel;ET030404;;;; 1 ;;;;;1;;1;;;3; 1 
Amahra;South Wollo;Dessie Zuria;ET030409;;;; 1 ;;;;;1;;1;;;3; 1 
Amahra;South Wollo;Legehida;ET030420;;;; 1 ;;;;;1;;1;;;3; 1 
Oromia;South West Shewa;Wenchi;ET041302;;;;;;;;;;;; 1 ;;1; 1 
Tigray;North West;Tahtay Adiyabo;ET010101;;;;;;;;;;;; 2,475 ;;1; 2,475 
Tigray;North West;Tahtay Koraro;ET010104;;;;;;;;;;;; 512 ;;1; 512 
Amahra;South Wollo;Albuko;ET030408;;;; 1 ;;;;;;;; 1 ;;2; 1 
Amahra;South Wollo;Jama;ET030414;;;; 1 ;;;;;;;1;;;2; 1 
Amahra;South Wollo;Debresina;ET030412;;;;;;;;;;;; 1 ;;1; 1 
Oromia;West Arsi;Shalla;ET041702; 16,119 ;;;;;;;;1;; 14,080 ;;;3; 10,067 
SNNPR;Wolayita;Humbo;ET070604; 2,700 ;;;;2310;;;;1; 1 ; 2,750 ;;;5; 1,552 
SNNPR;Wolayita;Diguna Fango;ET070612;;;;;;;;;1; 1,254 ; 405 ;;;3; 553 
Somali;Siti;Afdem;ET050106;;;;;;;;;1;;1;;;2; 1 
Somali;Siti;Miesso;ET050107;;;;;;;;;1;; 405 ;;;2; 203 
SNNPR;Wolayita;Damot Weydie;ET070603;;;;;;;;;1;;1;;;2; 1 
Somali;Siti;Dembel;ET050102;;;;;;;;;;; 15 ;;;1; 15 
Amahra;South Wollo;Kombolcha Town;ET030417;;;;;;;;;;; 1,766 ;;;1; 1,766 
Amahra;South Wollo;Legambo;ET030410;;;;;;;;;;;; 1 ;;1; 1 
SNNPR;Wolayita;Kindo Dida;ET070610;;;;;;;;;1;; 36,075 ;;;2; 18,038 
Oromia;West Arsi;Siraro;ET041701; 14,987 ;;;;;;;;1;; 78,680 ;;;3; 31,223 
Amahra;South Wollo;Mehal Sayint;ET030419;;;; 1 ;;;;;;;;;;1; 1 
Amahra;South Wollo;Tenta;ET030402;;3645;;;;;;;;;;;;1; 3,645 
Amahra;South Wollo;Argoba;ET031201;;;;;;;;;;;;;;0;
Amahra;South Wollo;Kelela;ET030413;;;;;;;;;;;;;;0;
Amahra;South Wollo;Kutaber;ET030403;;;;;;;;;;;;;;0;
Amahra;South Wollo;Mekdela;ET030401;;;;;;;;;;;;;;0;
Somali;Siti;Ayisha;ET050101;;;;;;;;;;;;;;0;
Oromia;West Arsi;Shashemene Zuria;ET041712;;;;;;;;;1;;1;;;2; 1 
Oromia;West Arsi;Adaba;ET041710;;;;;;;;;;; 385 ;;;1; 385 
Oromia;West Arsi;Arsi Negele;ET041703;;;;;;;;;;; 6,655 ;;;1; 6,655 
Oromia;West Arsi;Dodola;ET041707;;;;;;;;;;; 2,025 ;;;1; 2,025 
Amahra;South Wollo;Sayint;ET030411;;;;;;;;;;;;;;0;
Amahra;South Wollo;Were Ilu;ET030415;;;;;;;;;;;;;;0;
Amahra;South Wollo;Worebabu;ET030406;;;;;;;;;;;;;;0;
Oromia;West Arsi;Shashemene Town;ET041711;;;;;;;;;;; 6,765 ;;;1; 6,765 
Oromia;West Guji;Gelana;ET041217; 5,000 ;;;;;;;;1;;1;; 1 ;4; 1,251 
Oromia;West Harerge;Kuni;ET040911; 280 ;;;;2365;;;;1; 16,000 ; 140,000 ;;;5; 31,729 
Oromia;West Harerge;Habro;ET040908; 675 ;;;;;;;;1;;1;;;3; 226 
Oromia;West Harerge;"Hawi Gudina
";ET040915;;;;;;;;;1;; 1,815 ;;;2; 908 
SNNPR;Wolayita;Boloso sore;ET070601;;;;;;;;;; 1 ;;;;1; 1 
Oromia;West Harerge;Mieso;ET040901;;;;;;;;;; 1 ;;;;1; 1 
Oromia;West Harerge;Tulo;ET040903;;;;;3795;;;;;;;;;1; 3,795 
Oromia;West Harerge;Anchar;ET040906;;;;;;;;;;;;;;0;
Oromia;West Shewa;Ejere (Addis Alem);ET040511;;;;;;;;;;;; 1 ;;1; 1 
Afar;Fenti (Zone 4);Awra;ET020401;;;;;;;;;;;;;;0;
Afar;Fenti (Zone 4);Ewa;ET020402;;;;;;;;;;;;;;0;
Oromia;West Shewa;Ejersa Lafo;ET040590;;;;;;;;;;;; 1 ;;1; 1 
Afar;Hari (Zone 5);Dalfagi;ET020504;;;;;;;;;;;;;;0;
Afar;Hari (Zone 5);Telalak;ET020501;;;;;;;;;;;;;;0;
Somali;Warder;Warder;ET050704; 2,813 ;;;;;; 6,600 ;;;;;; 1 ;3; 3,138 
Afar;Kilbati (Zone 2);Afdera;ET020207;;;;;;;;;;;;;;0;
Afar;Kilbati (Zone 2);Erebti;ET020201;;;;;;;;;;;;;;0;
Amahra;Wag Himra;Dehana;ET030803;;;; 1 ;;;;;1;;1;;;3; 1 
Amahra;Wag Himra;Gaz Gibla;ET030804;;;; 1 ;;;;;;;; 1 ;;2; 1 
Amahra;Wag Himra;Sekota;ET030802;;;; 1 ;;;;;;;; 1 ;;2; 1 
Amahra;Wag Himra;Ziquala;ET030801;;; 1 ;;;;;;;;; 1 ;;2; 1 
Amahra;Wag Himra;Abergele;ET030805;;;; 1 ;;;;;;;;;;1; 1 
Amahra;Wag Himra;Sahla;ET030806;;;;;;;;;;;;;;0;
Somali;Warder;Lehel-Yucub;ET050798;;;;;;;;;;;;; 440 ;1; 440 
Amahra;West Gojam;Bahirdar Zuria;ET030702;;;; 2,278 ;;;;;1;;1;;;3; 760 
Amahra;West Gojam;Dega Damot;ET030707;;;; 1 ;;;;;1;;1;;;3; 1 
Amahra;West Gojam;Debub Achefer;ET030713;;;;;;;;;1;;1;;;2; 1 
Amahra;West Gojam;Mecha;ET030704;;1;; 1 ;;;;;;;;;;2; 1 
Amahra;West Gojam;Semen Achefer;ET030701;;;;;;;;;1;;1;;;2; 1 
